case_id,seed_smiles,counterfactual_smiles,seed_prob_bbb_plus,counterfactual_prob_bbb_plus,seed_pred,counterfactual_pred,flipped,counterfactual_in_benchmark_0_9,tanimoto_similarity,edit_atom_idx,old_symbol,new_symbol,local_fragment,delta_tpsa,delta_logp,delta_hbd,delta_hba,image
1,COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)cc(F)c12,COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)ccc12,0.5090866684913635,0.4699518084526062,1,0,1,1,0.7741935483870968,-1,library_match,library_match,seed_diff_atoms=['F']; cf_diff_atoms=[],0.0,-0.1391,0.0,0.0,/home/shenxin/LiBP/results/interpretability_suite_v2/B_counterfactual_case_studies/counterfactual_case_1.png
2,CC(C)C[C@H](NC(CC[C@H](NC(NCC(N[C@@H](C)C(=O)O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@H](CCCCN)NC(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](CO)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N1CCC[C@H]1C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](N)Cc1ccc(N2CCC[C@H]2C(N[C@@H](CCC(N[C@@H](CN[C@@H](CCCNC(=N)N)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](CCC(N)=O)C(=O)O)N2CCC[C@H]2C(O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)C(N[C@@H](CCC(=O)O)C(=O)O)N[C@@H](CCC(=O)O)C(=O)O)N2CCC[C@H]2C(N[C@@H](C)C(N[C@H](C(=O)O)C(C)C)N[C@H](C(=O)O)C(C)O)N[C@@H](CC(N[C@@H](Cc2ccc(O)cc2)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CC(C)C)C(=O)O)cc1)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](Cc1cnc[nH]1)C(=O)O)N[C@@H](CO)C(=O)O)C(=O)O,CCC(C)[C@H](NC(N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@H](CC(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](Cc1cnc[nH]1)C(=O)O)NC(N[C@@H](C)C(N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CC(C)C)C(=O)O)[C@H](CCCCN)NC([C@H](Cc1ccc(N2CCC[C@H]2C(NCC(N[C@@H](C)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N2CCC[C@H]2C(N[C@@H](CO)C(=O)O)N[C@@H](Cc2ccccc2)C(=O)O)cc1)NC([C@H](C)N)N1CCC[C@H]1C(N[C@@H](CN[C@@H](C)C(=O)O)C(N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CCC(N[C@@H](CCC(=O)O)C(=O)O)N1CCC[C@H]1C(O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(N[C@@H](CCC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)CC)N1CCC[C@H]1C(N[C@@H](C)C(N[C@H](C(=O)O)C(C)C)N[C@H](C(=O)O)C(C)O)N[C@@H](CN[C@@H](CCCNC(=N)N)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](CCC(N)=O)C(=O)O)C(=O)O,0.5199965834617615,0.4704009592533111,1,0,1,1,0.8235294117647058,-1,library_match,library_match,"seed_diff_atoms=['C', 'C', 'N', 'O', 'O', 'O', 'C', 'C', 'O', 'O', 'C', 'C', 'N', 'C', 'N', 'N', 'O', 'O', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'C', 'O', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'O', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'N', 'C', 'C', 'C', 'N', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'N', 'C', 'N', 'N', 'N', 'C', 'N', 'O', 'O']; cf_diff_atoms=['C', 'C', 'C', 'C', 'C', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'N', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'N', 'O', 'O', 'O', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'O', 'O', 'C', 'N', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'N', 'C', 'C', 'O', 'O', 'C', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'C', 'O', 'O', 'N', 'C', 'C', 'C', 'C', 'N', 'O', 'C', 'O', 'O', 'C', 'O', 'O']",-56.0300000000002,1.0084300000000237,-4.0,-1.0,/home/shenxin/LiBP/results/interpretability_suite_v2/B_counterfactual_case_studies/counterfactual_case_2.png
3,CCOc1ccc(CCCNC(=O)[C@H](C)Sc2ccc(C)cc2)cc1,Cc1ccc(S[C@H](C)C(=O)NCCCc2ccc(OC(C)C)cc2)cc1,0.4766998887062073,0.549453616142273,0,1,1,1,0.78,-1,library_match,library_match,seed_diff_atoms=[]; cf_diff_atoms=['C'],0.0,0.3885000000000005,0.0,0.0,/home/shenxin/LiBP/results/interpretability_suite_v2/B_counterfactual_case_studies/counterfactual_case_3.png
4,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,0.5385041236877441,0.4535482823848724,1,0,1,1,0.7647058823529411,-1,library_match,library_match,"seed_diff_atoms=['Cl', 'C', 'C']; cf_diff_atoms=['S']",0.0,-0.5919000000000008,0.0,1.0,/home/shenxin/LiBP/results/interpretability_suite_v2/B_counterfactual_case_studies/counterfactual_case_4.png
