case_id,transformation,transformation_all,effect,similarity,left_smiles,right_smiles,left_prob,right_prob,delta_tpsa,delta_hbd,delta_logp,tpsa_dir,hbd_dir,logp_dir
1,reduce amide,reduce amide; remove heteroatoms,BBB+,0.5409836065573771,COc1ccc([C@@H](NC2CCOCC2)C2CC(O)C2)cn1,COc1ccc([C@@H](NC(=O)c2cnoc2C)C2CC(O)C2)cn1,0.9938469529151917,0.4999293386936188,-33.870000000000005,0.0,0.042180000000000106,Decrease,No change,Increase
2,remove hydroxyl,remove hydroxyl,BBB+,0.45,Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,COc1cccnc1CCCCNC1NCC(Cc2ccc(C)nc2)C(O)N1,0.6434150338172913,0.4975623488426208,-12.389999999999986,-1.0,1.27052,Decrease,Decrease,Increase
3,add aromatic ring,add aromatic ring,BBB+,0.4587155963302752,CCC(C)[C@H](NC(N[C@@H](Cc1c[nH]c2ccccc12)C(N[C@@H](CCCNC(=N)N)C(N[C@@H](C)C(=O)O)N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(N[C@@H](CO)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)[C@@H](N)Cc1ccc(N[C@@H](C(C)N[C@@H](CCSC)C(NCC(O)NCC(=O)O)N[C@H](C(=O)O)C(C)O)C(N[C@@H](CCC(N[C@@H](CC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)CC)C(N[C@@H](Cc2ccccc2)C(=O)O)N[C@H](C(=O)O)C(C)O)N2CCC[C@H]2C(N[C@@H](CS)C(=O)O)N2CCC[C@H]2C(=O)O)cc1)C(N[C@@H](CC(N)N[C@@H](CC(N)=O)C(=O)O)C(N[C@@H](CO)C(=O)O)N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(NCC(=O)O)N[C@@H](CCCCN)C(=O)O,CCC(C)[C@H](NC(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CO)C(=O)O)N[C@@H](CCC(=O)O)C(=O)O)N[C@@H](CCSC)C(N[C@@H](CCC(N)=O)C(=O)O)N1CCC[C@H]1C(=O)O)[C@H](Cc1ccccc1)NC(CN)N[C@@H](CC(C)C)C(N[C@@H](C(C)N[C@@H](C)C(N[C@@H](Cc1ccccc1)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(NCC(NCC(=O)O)N[C@@H](CO)C(=O)O)N[C@@H](CCCCN)C(NCC(=O)O)N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](CCCCN)C(NCC(N[C@@H](CCCCN)C(=O)O)N[C@@H](CCC(=O)O)C(=O)O)N[C@@H](CCCCN)C(N[C@@H](C)C(=O)O)N[C@H](C(=O)O)C(C)C)C(NCC(=O)O)N[C@@H](Cc1cnc[nH]1)C(=O)O,0.5030707716941833,0.1842812746763229,143.05999999999995,7.0,-5.302490000000037,Increase,Increase,Decrease
4,add aromatic ring,add aromatic ring,BBB+,0.4540229885057471,CSCC[C@H](NC(C[C@H](NC(C[C@H](N)C(N[C@@H](CCSC)C(N[C@@H](Cc1ccccc1)C(=O)O)N[C@H](C(=O)O)C(C)C)N[C@@H](CC(C)C)C(N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(=O)O)N[C@@H](Cc1ccccc1)C(N[C@@H](CS)C(N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CCCNC(=N)N)C(N[C@@H](CS)C(=O)O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(NCC(=O)O)N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(=O)O,CCC(C)[C@H](NC(N[C@H](C(=O)O)C(C)O)[C@H](C)NC(N[C@@H](CN[C@@H](CCCCN)C(=O)O)C(N[C@@H](CS)C(=O)O)N[C@@H](CCCCN)C(=O)O)[C@H](CC(C)C)NC(N[C@@H](CCSC)C(N[C@@H](C)C(N[C@@H](CS)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](CC(C)C)C(N[C@@H](Cc1ccccc1)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](CC(C)C)NC([C@@H](N)Cc1ccccc1)N1CCC[C@H]1C(NCC(N[C@@H](CCCCN)C(=O)O)N1CCC[C@H]1C(=O)O)N[C@@H](C)C(N[C@@H](CCSC)C(=O)O)N[C@H](C(=O)O)C(C)C)C(=O)O,0.5036014914512634,0.2512544989585876,77.86000000000013,3.0,-3.147990000000025,Increase,Increase,Decrease
5,remove hydroxyl,remove hydroxyl,BBB+,0.4626865671641791,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.5041204690933228,0.1188853979110717,-16.99000000000001,-1.0,-0.6108000000000002,Decrease,Decrease,Decrease
6,other,other,BBB+,0.5384615384615384,O=C(OOC(=O)c1ccccc1)c1ccccc1,O=C(OCc1ccccc1)c1ccccc1,0.772929310798645,0.4949970841407776,26.3,0.0,-0.42820000000000036,Increase,No change,Decrease
7,other,other,BBB+,0.7741935483870968,COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)cc(F)c12,COc1nn(-c2ccccn2)c2cc(-c3ccc(C4CC4C(=O)O)cc3)ccc12,0.5090867280960083,0.4699517786502838,0.0,0.0,0.1391,No change,No change,Increase
8,remove hydroxyl,remove hydroxyl; remove heteroatoms,BBB+,0.4976958525345622,CCC(C)[C@H](NC(N[C@@H](Cc1ccc(N[C@@H](CCC(N)NCC(N[C@@H](CS)C(=O)O)N[C@@H](CCC(N)=O)C(=O)O)C(NCC(N[C@H](C(=O)O)C(C)CC)N2CCC[C@H]2C(=O)O)N[C@@H](CCCCN)C(NCC(=O)O)N[C@@H](CS)C(=O)O)cc1)C(N[C@@H](CC(N)N[C@@H](CCCNC(=N)N)C(O)N1CCC[C@H]1C(=O)O)C(N[C@@H](CO)C(=O)O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CS)C(N[C@@H](CC(=O)O)C(=O)O)N1CCC[C@H]1C(=O)O)[C@@H](N)CS)C(N[C@@H](CCCNC(=N)N)C(N[C@H](C(=O)O)C(C)C)N1CCC[C@H]1C(=O)O)N1CCC[C@H]1C(N[C@@H](C)C(=O)O)N[C@H](C(=O)O)C(C)O,CC(C)C[C@H](NC(CN)N1CCC[C@H]1C(NCC(NCC(N[C@@H](CS)C(=O)O)N[C@H](C(=O)O)C(C)O)N[C@@H](C(C)N[C@@H](CCCNC(=N)N)C(=O)O)C(O)N[C@@H](CC(=O)O)C(=O)O)N[C@@H](CCC(N[C@@H](CS)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)C(N[C@H](C(=O)O)C(C)O)N1CCC[C@H]1C(=O)O)C(N[C@@H](C(C)C)C(N[C@@H](CNCC(=O)O)C(N[C@@H](C)C(=O)O)N[C@@H](CS)C(=O)O)N[C@@H](CS)C(N[C@@H](CS)C(=O)O)N[C@@H](CC(=O)O)C(=O)O)N[C@@H](CS)C(NCC(N[C@H](C(=O)O)C(C)C)N1CCC[C@H]1C(=O)O)N[C@@H](Cc1ccccc1)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)N1CCC[C@H]1C(=O)O,0.5103601813316345,0.2856967747211456,-12.38000000000011,-3.0,1.6148700000000709,Decrease,Decrease,Increase
