feature,mean_abs_shap,surrogate_feature_importance
tpsa,0.16076604915272585,0.33876551770924934
rot_bonds,0.02944803135213845,0.05980657545445904
hba,0.020563128983580557,0.044413736466248015
ring_count,0.019056471837626907,0.03706115655322249
logp,0.018686927567118185,0.09252230422792078
motif_count_aromatic_ring,0.015331541820535246,0.04310850785469239
motif_count_hetero6_ring,0.014862347547236063,0.029923878351739784
motif_count_amide,0.013559599534150668,0.03849944620940519
motif_count_hydroxyl,0.011107991617429914,0.02892314516339379
atom_count_S,0.011058555302082601,0.01883476964222298
atom_count_N,0.00942848218305091,0.03821902104564311
atom_count_C,0.00895964186510699,0.050287065470177555
num_bonds,0.00793610336927222,0.032745789430170306
atom_count_O,0.00792184713491175,0.0246203876188257
num_atoms,0.007738266703494572,0.02941458278667415
motif_count_carboxyl,0.006787594645563189,0.015444922853441833
motif_count_amine,0.0065909649948722995,0.01793144236029081
hbd,0.004491505835420456,0.01753780046347173
motif_count_hetero5_ring,0.003747281537166313,0.019751980186458476
atom_count_Cl,0.0015881323944413773,0.006991530553059623
motif_count_halogen,0.0013736713825904625,0.007682878865610996
atom_count_F,0.0005961329389676845,0.0032868049779267933
atom_count_P,0.0004096887521358358,0.0023689894727239405
motif_count_sulfonamide,0.00037315211283470845,0.0018206770302530832
atom_count_I,1.6435938105790316e-05,2.7870814735918883e-05
atom_count_Br,5.9388619569873275e-06,9.218437982197147e-06
atom_count_B,0.0,0.0
